Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
,https://github.com/pytorch/pytorch/issues/97189,yes,torch.randint,2023-03-20T21:57:52Z,2.0.0,cu117,Logical,RuntimeError,Overflow,RuntimeError: Overflow when unpacking long,API Input Context,Large Input Tensor,All,,,
,https://github.com/pytorch/pytorch/issues/111247,no,torch.index_select,2023-10-13T21:53:59Z,2.0.0,cu117,Logical,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/95189,no,torch.index_add,2023-02-21T07:35:18Z,2.0.0,N.A,Logical,Others,compile error,torch._inductor.exc.CppCompileError: C++ compile error,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/101249,yes,torch.einsum,2023-05-12T02:59:52Z,2.0.0,cu121,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/100932,yes,torch.concat,2023-05-09T01:26:39Z,2.0.0,N.A,Logical,RuntimeError,Unexpected floating,RuntimeError: Unexpected floating ScalarType in at::autocast::prioritize,Test Case Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/98861,yes,torch.cat,2023-04-11T19:00:20Z,2.0.0,cu121,Logical,RuntimeError,Sparse CSR tensors,RuntimeError: Sparse CSR tensors do not have is_contiguous,API Input Context,Modeling Sparse Input Tensor,,,,
ACETest,https://github.com/pytorch/pytorch/issues/94590,yes,torch.affine_grid_generator,2023-02-10T13:28:31Z,2.0.0,cu118,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
ACETest,https://github.com/pytorch/pytorch/issues/94593,yes,torch._remove_batch_dim,2023-02-10T13:46:52Z,2.0.0,cu118,Vulerability,Others,Aborted (core dumped),"free(): invalid pointer
Aborted (core dumped)",API Input Context,Negative Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/94591,yes,torch._C._nn.upsample_nearest2d,2023-02-10T13:37:37Z,2.0.0,cu116,Logical,IndexError,out of bounds for,IndexError: index 2 is out of bounds for dimension 0 with size 2,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/110285,yes,torch.ones,2023-09-29T15:52:26Z,2.0.1,N.A,Logical,TypeError,unsupported ScalarType,TypeError: Got unsupported ScalarType BFloat16,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/111457,yes,torch.matmul,2023-10-18T05:12:55Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/105726,yes,torch.matmul,2023-07-21T06:56:04Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/111925,yes,torch.logical_and,2023-10-24T15:37:51Z,2.1.0,,Logical,Others,An output with one or more elements,"UserWarning: An output with one or more elements was resized since it had shape [2, 128], which does not match the required output shape [4, 2, 128]. This behavior is deprecated, and in a future PyTorch release outputs will not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace, to zero elements with t.resize_(0). (Triggered internally at /opt/conda/conda-bld/pytorch_1695392022560/work/aten/src/ATen/native/Resize.cpp:28.)
  torch.logical_and(b, a)",API Usage Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/107087,yes,torch.randn,2023-08-12T16:21:00Z,2.1.0,N.A,Logical,RuntimeError,not implemented for,"RuntimeError: ""add_stub"" not implemented for 'Float8_e5m2'",API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/108407,yes,torch.einsum,2023-09-01T09:19:57Z,2.1.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Devices,,,,
