Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
TitanFuzz,https://github.com/pytorch/pytorch/issues/99265,yes,torch.addcmul,2023-04-16T13:44:32Z,2.0.0,cu118,Logical,TypeError,invalid combination,TypeError: addcmul() received an invalid combination of arguments - got unrecognized keyword arguments: tensor2,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/100087,yes,torch.nn.TransformerEncoderLayer,2023-04-26T12:44:11Z,2.0.0,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing the Output of Two API Calls,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/93249,yes,torch.Tensor.min,2023-01-30T05:04:16Z,2.0.0,cu117,Logical,AssertionError,only supports,AssertionError: float16 user-defined reduction only supports 'sum' and 'any' but got min,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/98948,yes,torch.tensor,2023-04-12T16:53:22Z,2.0.0,cu118,Logical,TypeError,len(),TypeError: len() of a 0-d tensor,Test Case Context,Comparing the Output of Two API Calls,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/97189,yes,torch.randint,2023-03-20T21:57:52Z,2.0.0,cu117,Logical,RuntimeError,Overflow,RuntimeError: Overflow when unpacking long,API Input Context,Large Input Tensor,All,,,
,https://github.com/pytorch/pytorch/issues/92674,yes,torch.nn.BatchNorm2d,2023-01-20T08:15:59Z,2.0.0,cu117,Logical,RuntimeError,must match,RuntimeError: The size of tensor a (3) must match the size of tensor b (2) at non-singleton dimension 0,Test Case Context,Modeling Multiple API Usage Pattern,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/100085,yes,torch.Tensor.norm,2023-04-26T12:40:00Z,2.0.0,cu11,Logical,RuntimeError,Expected out tensor,"RuntimeError: Expected out tensor to have dtype float, but got c10::BFloat16 instead",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/104697,no,torch.nn.LSTM,2023-07-06T10:23:34Z,2.0.0,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/93819,yes,torch.nn.functional.log_softmax,2023-02-01T05:27:07Z,2.0.0,cu117,Logical,BackendCompilerFailed,assert,"    assert all(index[i] == 0 for i in reduced_idx)
AssertionError",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/92740,yes,torch.nn.Conv2d,2023-01-21T03:41:21Z,2.0.0,cu117,Logical,RuntimeError,should be the same,RuntimeError: Input type (torch.FloatTensor) and weight type (Mkldnntorch.FloatTensor) should be the same,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
