Detected,Issue,Related to Tensor,Version,Buggy API,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Description,Need More Inspection(0/1),Reason not agree,Unnamed: 14,Time,Related,CUDA
,https://github.com/tensorflow/tensorflow/issues/62174,yes,2.14.0,tf.map_fn,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,tf.map_fn and TensorArray do not seem to support backpropagation,,,,2023-10-19T12:34:32Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62114,yes,2.14.0,tf.truncatediv,Logical,Others,Internal error,Internal error,API Input Context,Zero Integer Argument,Internal Error for truncatediv when denominator is an integer zero,,,,2023-10-15T05:48:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62088,yes,2.14.0,tf.gather,Logical,InvalidArgumentError,is not compatible with result shape,"tensorflow.python.framework.errors_impl.InvalidArgumentError: {{function_node __wrapped__GatherV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} Shape used to set computation result layout (s32[3,2]{1,0}) is not compatible with result shape (s32[2,2])
         [[{{node cluster_1_1/xla_compile}}]] [Op:GatherV2] name:",API Input Context,Generating Tensors with Incompatible Shapes,"But looks like the doc does not tell us what to do when the batch_dim dimensions of params and indices disagree. Should the formula be updated to something like: def batched_result_shape(p_shape, i_shape, axis=0, batch_dims=0):
return i_shape[:batch_dims] + p_shape[batch_dims:axis] + i_shape[batch_dims:] + p_shape[axis+1:] or, should we just add a validation check to count the mismatch of batch_dim dimensions of params and indices?",,,,2023-10-11T12:07:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62070,yes,2.14.0,tf.truncatemod,Logical,NotFoundError,Could not find device for node,NotFoundError: Could not find device for node: {{node TruncateMod}} = TruncateMod[T=DT_BFLOAT16],API Input Context,Supporting Specific Data Types,supports the half and bfloat16 data type but in practical it does not.,,,,2023-10-09T08:36:40Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61968,yes,2.14.0,tf.transpose,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-09-25T00:12:15Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61965,yes,2.14.0,tf.math.floordiv,Vulnerability,InvalidArgumentError,Integer division by zero,InvalidArgumentError: Exception encountered when calling layer 'model_21' (type Model). {{function_node __wrapped__FloorDiv_device_/job:localhost/replica:0/task:0/device:CPU:0}} Integer division by zero [Op:FloorDiv] name:,API Input Context,Empty Input Tensor,,,,,2023-09-23T19:51:17Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61955,yes,2.13.0,tf.linalg.svd,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-09-23T08:44:22Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61925,yes,2.13.0,tf.keras.layers.Concatenate,Logical,ValueError,layer requires inputs with matching shapes,raise ValueError(err_msg) ValueError: A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received:,API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-09-20T07:51:32Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61916,yes,2.13.0,tf.linalg.cholesky,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,,2023-09-19T13:54:42Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61911,no,2.13.0,tf.device,Logical,Others,cudaError_t.cudaSuccess,"(<cudaError_t.cudaSuccess: 0>, 0)
(<cudaError_t.cudaSuccess: 0>, 7)
(<cudaError_t.cudaSuccess: 0>, 7)
(<cudaError_t.cudaSuccess: 0>, 0)",API Input Context,Modeling Specific Devices,,1.0,"trigger: This happens when: 1. tensorflow is initializing GPU context on this line (tf.device), 2. there is no materialization of tensors on GPU",,2023-09-19T10:21:44Z,1.0,N.A
