Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
TitanFuzz,https://github.com/pytorch/pytorch/issues/99265,yes,torch.addcmul,2023-04-16T13:44:32Z,2.0.0,cu118,Logical,TypeError,invalid combination,TypeError: addcmul() received an invalid combination of arguments - got unrecognized keyword arguments: tensor2,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/98948,yes,torch.tensor,2023-04-12T16:53:22Z,2.0.0,cu118,Logical,TypeError,len(),TypeError: len() of a 0-d tensor,Test Case Context,Comparing the Output of Two API Calls,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/99979,no,torch.onnx.export,2023-04-25T09:47:03Z,2.0.0,cu117,Logical,IndexError,Argument passed,IndexError: Argument passed to at() was not in the map.,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/98100,yes,torch.onnx.export,2023-03-31T22:41:15Z,2.0.0,cu117,Logical,RuntimeError,Input must be,RuntimeError: Input must be a list of dictionaries or a single numpy array for input 'x'.,API Input Context,Modeling Specific Inputs,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/97456,yes,torch.onnx.export,2023-03-23T18:57:19Z,2.0.0,CPU,Logical,RuntimeError,Only tuples,"RuntimeError: Only tuples, lists and Variables are supported as JIT inputs/outputs. Dictionaries and strings are also accepted, but their usage is not recommended. Here, received an input of unsupported type: torch._C.ScriptObject",API Input Context,Modeling Quantized Tensors,,,,
,https://github.com/pytorch/pytorch/issues/96981,no,torch.onnx.export,2023-03-16T21:19:53Z,2.0.0,N.A,Logical,TypeError,positional argument,TypeError: MyModel.forward() takes 1 positional argument but 2 were given,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/93819,yes,torch.nn.functional.log_softmax,2023-02-01T05:27:07Z,2.0.0,cu117,Logical,BackendCompilerFailed,assert,"    assert all(index[i] == 0 for i in reduced_idx)
AssertionError",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/105134,yes,torch.onnx.export,2023-07-13T08:08:47Z,2.0.0,cu117,Logical,TypeError,not subscriptable,TypeError: 'NoneType' object is not subscriptable (Occurred when translating col2im).,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/98189,yes,torch.onnx.export,2023-04-03T05:58:40Z,2.0.0,N.A,Logical,Inconsistent results,graph(,"Exported graph: graph(%input : Float(1, 16, 400, 640, strides=[4096000, 256000, 640, 1], requires_grad=0, device=cuda:0),",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/92910,no,torch.jit.save,2023-01-24T18:24:24Z,2.0.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111247,no,torch.index_select,2023-10-13T21:53:59Z,2.0.0,cu117,Logical,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/101249,yes,torch.einsum,2023-05-12T02:59:52Z,2.0.0,cu121,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/104506,no,torch.distributed.init_process_group,2023-07-02T07:33:57Z,2.0.0,cu117,Performance bug,Performance bug,Hang,Hang,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/98861,yes,torch.cat,2023-04-11T19:00:20Z,2.0.0,cu121,Logical,RuntimeError,Sparse CSR tensors,RuntimeError: Sparse CSR tensors do not have is_contiguous,API Input Context,Modeling Sparse Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/96187,yes,torch.autograd.gradgradcheck,2023-03-07T10:40:44Z,2.0.0,N.A,Logical,ValueError,got an unexpected keyword,TypeError: gradgradcheck() got an unexpected keyword argument 'check_sparse_nnz',API Input Context,Modeling Sparse Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/106556,yes,torch.autograd.grad,2023-08-03T16:41:36Z,2.0.0,CPU,Logical,Others,bad operand,bad operand type for unary -: 'NoneType',Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/105742,yes,torch.unique,2023-07-21T14:35:11Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/109445,yes,torch.sparse.mm,2023-09-16T20:47:59Z,2.0.1,cu117,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/109462,yes,torch.sparse_coo_tensor,2023-09-17T16:45:33Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/103949,no,torch.save,2023-06-21T06:25:05Z,2.0.1,cu118,Logical,RuntimeError,Parent directory,RuntimeError: Parent directory C:\Users\ユーザー名\source\ does not exist.,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/111357,no,torch.onnx.export,2023-10-16T07:37:15Z,2.0.1,cu117,Logical,TypeError,required positional arguments,TypeError: quantized_add() missing 2 required positional arguments: 'op_scale' and 'op_zero_point',Test Case Context,Supporting External Library,,,,
,https://github.com/pytorch/pytorch/issues/110056,yes,torch.onnx.export,2023-09-26T04:47:26Z,2.0.1,N.A,Vulnerability,Floating point exception,Floating point exception,Floating point exception (core dumped),API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/109425,yes,torch.onnx.export,2023-09-16T04:08:35Z,2.0.1,cu117,Logical,ValueError,symbolic expected,"torch.onnx.errors.SymbolicValueError: ONNX symbolic expected the output of `%permute : Tensor(*, *, *) = onnx::Transpose[perm=[0, 2, 1]](%quantize_per_tensor), scope: torch.fx.graph_module.GraphModule:: # <eval_with_key>.6:8:14",API Usage Context,Modeling Quantized Tensors,,,,
,https://github.com/pytorch/pytorch/issues/106939,no,torch.onnx.export,2023-08-10T03:00:04Z,2.0.1,cu117,Logical,TypeError,not subscriptable,TypeError: 'NoneType' object is not subscriptable,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/106298,yes,torch.onnx.export,2023-07-31T09:19:44Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/105454,yes,torch.onnx.export,2023-07-18T08:59:37Z,2.0.1,cu117,Logical,ValueError,export of convolution,"torch.onnx.errors.SymbolicValueError: Unsupported: ONNX export of convolution for kernel of unknown shape.  [Caused by the value '0 defined in (%0 : Float(1, 3, 10, 10, strides=[300, 100, 10, 1], requires_grad=0, device=cpu) = prim::Param()",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104403,yes,torch.onnx.export,2023-06-29T10:05:56Z,2.0.1,cu117,Logical,Others,ONNXRuntimeError,onnxruntime.capi.onnxruntime_pybind11_state.InvalidGraph: [ONNXRuntimeError] : 10 : INVALID_GRAPH : ,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/110285,yes,torch.ones,2023-09-29T15:52:26Z,2.0.1,N.A,Logical,TypeError,unsupported ScalarType,TypeError: Got unsupported ScalarType BFloat16,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/108226,yes,torch.nn.functional.pad,2023-08-30T10:24:22Z,2.0.1,cu117,Logical,TypeError,Expected a value,"aten::pad(Tensor self, SymInt[] pad, str mode=""constant"", float? value=None) -> Tensor: Expected a value of type 'Optional[float]' for argument 'value' but instead found type 'bool'.",API Input Context,Modeling Specific Inputs,,,,
