Detected,Related to Tensor,Time,Version,CUDA,Category Impact,Impact,Buggy API,Log Rule,Log Rule 2,Log Message,Issue,Category,Trigger,Need More Inspection,Reason not agree
FuzzGPT,yes,2023-04-16T13:44:32Z,2.0.0,cu118,Logical,TypeError,torch.addcmul,invalid combination,N\A,TypeError: addcmul() received an invalid combination of arguments - got unrecognized keyword arguments: tensor2,https://github.com/pytorch/pytorch/issues/99265,API Input Context,Modeling Parameter Space,,
,no,2023-06-01T14:01:57Z,2.0.0,cu118,Logical,Inconsistent results,torch.distributed.fsdp.FullyShardedDataParallel,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/102731,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-04-26T12:44:11Z,2.0.0,cu117,Logical,Inconsistent results,torch.nn.TransformerEncoderLayer,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/100087,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-05-03T21:29:21Z,2.0.0,cu117,Logical,RuntimeError,torch.nn.parallel.DistributedDataParallel,Expected to,N\A,RuntimeError('Expected to mark a variable ready only once. This error is caused [...],https://github.com/pytorch/pytorch/issues/100582,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-04-24T22:17:50Z,2.0.0,cu117,Logical,Others,torch.distributed.fsdp.FullyShardedDataParallel,unexpected,N\A,An unexpected prefix is detected,https://github.com/pytorch/pytorch/issues/99932,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-08-04T21:04:36Z,2.0.0,N.A,Logical,AssertionError,torch.utils.data.DataLoader,assert,N\A,"    assert self._timeout == 0
AssertionError",https://github.com/pytorch/pytorch/issues/106634,API Input Context,Modeling Parameter Space,,
,no,2023-06-14T06:34:55Z,2.0.0,N.A,Performance bug,Performance bug,torch.utils.data.DataLoader,Performance bug,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/103581,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-04-10T22:32:05Z,2.0.0,N.A,Logical,RuntimeError,torch.utils.data.DataLoader,Expected a,N\A,# RuntimeError: Expected a 'cpu' device type for generator but found 'cuda',https://github.com/pytorch/pytorch/issues/98792,Test Case Context,Model Tensor Execution on CUDA Devices,,
,no,2023-07-03T20:02:34Z,2.0.0,N.A,Logical,RuntimeError,torch.compile,Failed running,N\A,"RuntimeError: Failed running call_function <function get_div_fn.<locals>._f at 0x7f8278b018b0>(*(FakeTensor(FakeTensor(..., device='meta', size=(3,)), cpu), FakeTensor(FakeTensor(..., device='meta', size=(1,)), cpu)), **{}):",https://github.com/pytorch/pytorch/issues/104536,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-01-30T05:04:16Z,2.0.0,cu117,Logical,AssertionError,torch.Tensor.min,only supports,N\A,AssertionError: float16 user-defined reduction only supports 'sum' and 'any' but got min,https://github.com/pytorch/pytorch/issues/93249,API Input Context,Modeling Specific Data Types,,
FuzzGPT,yes,2023-02-21T06:56:13Z,2.0.0,CPU,Logical,RuntimeError,torch.Tensor.as_strided_,requiring a storage,N\A,"RuntimeError: setStorage: sizes [2, 2], strides [2, 2], storage offset 7, and itemsize 4 requiring a storage size of 48 are out of bounds for storage of size 20",https://github.com/pytorch/pytorch/issues/95186,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Compile/Eager Execution Mode,,
,yes,2023-04-12T16:53:22Z,2.0.0,cu118,Logical,TypeError,torch.tensor,len(),N\A,TypeError: len() of a 0-d tensor,https://github.com/pytorch/pytorch/issues/98948,API Input Context,Modeling Parameter Space,,
,yes,2023-04-12T09:54:46Z,2.0.0,cu117,Logical,RuntimeError,torch.sparse_csr_tensor,does not require,N\A,RuntimeError: element 0 of tensors does not require grad and does not have a grad_fn,https://github.com/pytorch/pytorch/issues/98929,Test Case Context,Modeling Multiple API Usage Pattern,,
,yes,2023-03-27T13:54:17Z,2.0.0,cu117,Logical,Inconsistent results,torch.sparse_csr_tensor,Sparse CSR tensor,N\A,"float32
/home/robert/test/min_bfloat16_fail.py:30: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at ../aten/src/ATen/SparseCsrTensorImpl.cpp:54.)
  out = torch.sparse_csr_tensor(
  Max forward abs diff:  tensor(7.6294e-06, device='cuda:0')
  Max forward rel diff:  tensor(1.8543e-05, device='cuda:0')
float16
  Max forward abs diff:  tensor(0.0312, device='cuda:0', dtype=torch.float16)
  Max forward rel diff:  tensor(0.1309, device='cuda:0', dtype=torch.float16)
bfloat16
  Max forward abs diff:  tensor(0.2500, device='cuda:0', dtype=torch.bfloat16)
  Max forward rel diff:  tensor(2.0156, device='cuda:0', dtype=torch.bfloat16)",https://github.com/pytorch/pytorch/issues/97668,API Input Context,Modeling Specific Data Types,,
,yes,2023-04-27T09:27:21Z,2.0.0,cu117,Logical,RuntimeError,torch.sparse_csc_tensor,MKL error,N\A,"RuntimeError: MKL error: SPARSE_STATUS_ALLOC_FAILED when calling `mkl_sparse_spmm( SPARSE_OPERATION_NON_TRANSPOSE, mkl_sparse_mat1.descriptor(), mkl_sparse_mat2.descriptor(), &result_desc)`",https://github.com/pytorch/pytorch/issues/100158,API Input Context,Large Integer Argument,,
,yes,2023-03-20T21:57:52Z,2.0.0,cu117,Logical,RuntimeError,torch.randint,Overflow,N\A,RuntimeError: Overflow when unpacking long,https://github.com/pytorch/pytorch/issues/97189,API Input Context,Modeling Specific Data Types,,
,no,2023-04-12T07:57:32Z,2.0.0,cu117,Logical,Others,torch.optim.lr_scheduler.MultiStepLR,Weights only load,N\A,"_pickle.UnpicklingError: Weights only load failed. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution.Do it only if you get the file from a trusted source. WeightsUnpickler error: Unsupported class collections.Counter",https://github.com/pytorch/pytorch/issues/98921,API Input Context,Modeling Parameter Space,,
,yes,2023-01-20T08:15:59Z,2.0.0,cu117,Logical,RuntimeError,torch.nn.BatchNorm2d,must match,N\A,RuntimeError: The size of tensor a (3) must match the size of tensor b (2) at non-singleton dimension 0,https://github.com/pytorch/pytorch/issues/92674,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-03-31T22:41:15Z,2.0.0,cu117,Logical,RuntimeError,torch.onnx.export,Input must be,N\A,RuntimeError: Input must be a list of dictionaries or a single numpy array for input 'x'.,https://github.com/pytorch/pytorch/issues/98100,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
