Library,Issue Link,Date,Title,API Name,Library Version,CUDA Version
tensorflow,https://github.com/tensorflow/tensorflow/issues/73519,2024-08-10T13:39:20Z,Segmentation fault (core dumped) in `tf.config.threading.set_inter_op_parallelism_threads`,tf.config.threading.set_inter_op_parallelism_threads,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73518,2024-08-10T13:33:57Z,Aborted (core dumped) in `tf.config.threading.set_intra_op_parallelism_threads`,tf.config.threading.set_intra_op_parallelism_threads,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73465,2024-08-09T14:22:36Z,Aborted (core dumped) in `tf.io.TFRecordOptions`,tf.io.TFRecordOptions,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73367,2024-08-08T09:36:08Z,Gradient computation for `vectorized_map` nested inside `while_loop`,tf.map_fn,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73367,2024-08-08T09:36:08Z,Gradient computation for `vectorized_map` nested inside `while_loop`,tf.while_loop,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73367,2024-08-08T09:36:08Z,Gradient computation for `vectorized_map` nested inside `while_loop`,tf.vectorized_map,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/73362,2024-08-08T09:14:54Z,sample_weight taking long to initialize,tf.keras.Model.fit,2.12.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72953,2024-08-01T12:52:10Z,Please initialize `TimeDistributed` layer with a `tf.keras.layers.Layer` instance,tf.keras.layers.TimeDistributed,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72873,2024-07-31T09:35:26Z,TF strings do not work on the GPU as indices for `tf.gather` / `tf.nn.embedding_lookup`,"tf.gather 
tf.nn.embedding_lookup 
tf.lookup.StaticHashTable",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72785,2024-07-30T15:03:03Z,Sparse segment mean/sum gives random result on empty tensor,"tf.math.sparse_segment_mean
tf.math.sparse_segment_sum",2.12.0,CPU
