,Category Trigger,Trigger,Frequency
0,API Input Context,Empty Input Tensor,5
1,API Input Context,Inputs with Incompatible Shapes,10
2,API Input Context,Large Input Tensor,15
3,API Input Context,Large Integer Argument,5
4,API Input Context,Large List Element,3
5,API Input Context,Model XLA Compilation,1
6,API Input Context,Modeling Compile/Eager Execution Mode,1
7,API Input Context,Modeling Multiple API Usage Pattern,1
8,API Input Context,Modeling Parameter Space,16
9,API Input Context,Negative Input Tensor,1
10,API Input Context,Others,2
11,API Input Context,Supporting Specific Data Types,17
12,API Input Context,Zero Integer Argument,3
13,Test Case Context,Model Tensor Execution on CUDA Devices,2
14,Test Case Context,Model XLA Compilation,6
15,Test Case Context,Modeling Compile/Eager Execution Mode,7
16,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,10
17,Test Case Context,Modeling Multiple API Usage Pattern,5
18,Test Case Context,Modeling Parameter Space,1
19,Test Case Context,Oracle for Performance Bug Detection,5
