,Category Trigger,Trigger,Frequency
0,API Input Context,Empty Input Tensor,7
1,API Input Context,Inputs with Incompatible Shapes,5
2,API Input Context,Large Input Tensor,9
3,API Input Context,Large Integer Argument,2
4,API Input Context,Modeling Parameter Space,37
5,API Input Context,Negative Integer Argument,3
6,API Input Context,Oracle for Performance Bug Detection,1
7,API Input Context,Supporting Specific Data Types,14
8,API Input Context,Zero Integer Argument,3
9,Test Case Context,Empty Input Tensor,1
10,Test Case Context,Model Tensor Execution on CUDA Devices,14
11,Test Case Context,Modeling Compile/Eager Execution Mode,5
12,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,18
13,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Compile/Eager Execution Mode,4
14,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,4
15,Test Case Context,Modeling Multiple API Usage Pattern,21
16,Test Case Context,Modeling Parameter Space,1
17,Test Case Context,Oracle for Performance Bug Detection,7
18,Test Case Context,Others,1
19,Test Case Context,Supporting Specific Data Types,2
20,Test Case Context+API Input Context,Model Tensor Execution on CUDA Devices,1
21,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,7
22,Test Case Context+API Input Context,Modeling Multiple API Usage Pattern+Modeling Parameter Space,2
