Library,Iteration,Release,exception,success
torch,1,2.0.0,29012,0
torch,1,2.0.1,29499,0
torch,1,2.1.0,29040,0
torch,2,2.0.0,29539,0
torch,2,2.0.1,28918,0
torch,2,2.1.0,29077,0
torch,3,2.0.0,5845,0
torch,3,2.0.1,5864,0
torch,3,2.1.0,5883,0
torch,4,2.0.0,5845,0
torch,4,2.0.1,5846,0
torch,4,2.1.0,5854,0
torch,5,2.0.0,5804,0
torch,5,2.0.1,5818,0
torch,5,2.1.0,5871,0
tf,1,2.11.0,4774,0
tf,1,2.12.0,5787,0
tf,1,2.13.0,30007,0
tf,1,2.14.0,4857,0
tf,2,2.11.0,4810,0
tf,2,2.12.0,5967,0
tf,2,2.13.0,5864,0
tf,2,2.14.0,4816,0
tf,3,2.11.0,4810,0
tf,3,2.12.0,5761,0
tf,3,2.13.0,5793,0
tf,3,2.14.0,4846,0
tf,4,2.11.0,4780,0
tf,4,2.12.0,5700,0
tf,4,2.13.0,5662,0
tf,4,2.14.0,4835,0
tf,5,2.11.0,4844,0
tf,5,2.12.0,5817,0
tf,5,2.13.0,5807,0
tf,5,2.14.0,4713,0
