Library,Iteration,Release,crash,exception,fail,timeout
torch,1,2.0.0,0,38087,38087,473
torch,1,2.0.1,0,38122,38122,479
torch,1,2.1.0,0,37796,37796,602
torch,2,2.0.0,0,39047,39047,622
torch,2,2.0.1,0,38918,38918,613
torch,2,2.1.0,0,38164,38163,615
torch,3,2.0.0,0,39004,39004,617
torch,3,2.0.1,0,38937,38937,612
torch,3,2.1.0,0,38921,38921,641
torch,4,2.0.0,0,38938,38938,632
torch,4,2.0.1,0,38780,38780,613
torch,4,2.1.0,0,38952,38952,654
torch,5,2.0.0,0,38971,38971,611
torch,5,2.0.1,0,38909,38909,615
torch,5,2.1.0,0,38859,38859,628
tf,1,2.11.0,203,33110,31985,102
tf,1,2.12.0,165,32982,31882,106
tf,1,2.13.0,177,33168,32097,111
tf,1,2.14.0,167,32980,31867,150
tf,2,2.11.0,187,33988,32887,191
tf,2,2.12.0,169,33956,32837,194
tf,2,2.13.0,195,33969,32849,176
tf,2,2.14.0,183,33848,32753,206
tf,3,2.11.0,220,33423,32295,128
tf,3,2.12.0,191,32948,31843,222
tf,3,2.13.0,187,33970,32859,202
tf,3,2.14.0,160,34063,32952,202
tf,4,2.11.0,198,34084,32974,202
tf,4,2.12.0,212,33869,32745,204
tf,4,2.13.0,181,33599,32509,153
tf,4,2.14.0,188,33955,32847,197
tf,5,2.11.0,184,33967,32889,218
tf,5,2.12.0,177,33971,32846,200
tf,5,2.13.0,189,33911,32796,196
tf,5,2.14.0,177,33873,32764,187
