Library,Iteration,Release,SUCCESS_FINAL,SUCCESS,PASS,SKIP,FWD_VALUE,STATUS,FWD_STATUS,REV_STATUS,REV_FWD_GRAD,ND_GRAD,GRAD_VALUE_MISMATCH,REV_STATUS_MISMATCH,VALUE_MISMATCH,CRASH_FINAL,DIRECT_CRASH,CRASH,REV_CRASH,FWD_CRASH,REV_GRAD_FAIL,FWD_GRAD_FAIL,ND_FAIL,ARGS_FAIL,DIRECT_FAIL,FAIL_FINAL,GRAD_NOT_COMPUTED,RANDOM,DIRECT_NAN,NAN,NAN_FINAL
torch,1,2.0.0,35210,0,35210,53331,0,265,1,171,3189,196,0,0,0,94,4,90,0,0,0,0,36,0,0,36,0,2594,0,1603,1603
torch,1,2.0.1,37678,0,37678,52913,0,283,2,164,3367,215,0,0,0,83,1,82,0,0,0,0,31,0,0,31,0,2596,0,1598,1598
torch,1,2.1.0,41787,0,41787,50755,0,291,3,4176,3282,174,0,0,0,86,2,84,0,0,0,0,223,0,0,223,0,2631,0,1570,1570
torch,2,2.0.0,36204,0,36204,53814,1,277,3,133,3185,196,0,0,0,86,3,83,0,0,0,0,32,0,0,32,0,2583,0,1623,1623
torch,2,2.0.1,35024,0,35024,53407,0,266,1,171,3168,190,0,0,0,94,2,92,0,0,0,0,29,0,0,29,0,2598,0,1626,1626
torch,2,2.1.0,42987,0,42987,50905,0,328,3,4253,3590,211,0,0,0,77,6,71,0,0,0,0,237,0,0,237,0,2503,0,1588,1588
torch,3,2.0.0,41349,0,41349,57718,0,286,3,197,4118,203,0,0,0,88,1,87,0,0,0,0,686,0,0,686,0,2513,0,1625,1625
torch,3,2.0.1,41616,0,41616,57367,1,327,3,224,4106,222,0,0,0,85,3,82,0,0,0,0,693,0,0,693,0,2599,0,1618,1618
torch,3,2.1.0,41819,0,41819,53953,0,246,0,4227,3397,219,0,0,0,76,4,72,0,0,0,0,878,0,0,878,0,2664,0,1601,1601
torch,4,2.0.0,29030,0,29030,38039,0,241,2,125,3100,158,0,0,0,81,6,75,0,0,0,0,315,0,0,315,0,2110,0,1611,1611
torch,4,2.0.1,29041,0,29041,38054,0,225,1,132,3136,170,0,0,0,92,3,89,0,0,0,0,323,0,0,323,0,2098,0,1589,1589
torch,4,2.1.0,31482,0,31482,39924,0,270,1,3808,2833,177,0,0,0,77,3,74,0,0,0,0,545,0,0,545,0,2098,0,1592,1592
torch,5,2.0.0,7398,0,7398,36834,0,0,0,0,1251,6,0,0,0,38,0,38,0,0,0,0,24,0,0,24,0,1912,0,1536,1536
torch,5,2.0.1,7300,0,7300,36860,0,0,0,0,1238,4,0,0,0,40,1,39,0,0,0,0,26,0,0,26,0,1916,0,1564,1564
torch,5,2.1.0,10541,0,10541,36999,0,0,0,1320,291,5,0,0,0,48,3,45,0,0,0,0,39,0,0,39,0,1891,0,1535,1535
tf,1,2.11.0,302,302,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,15,0,11,56,159,241,238,0,10,0,10
