Library,Iteration,Release,exception,crash,syntax,memory,success
torch,1,2.0.0,4695,1,12336,26,7942
torch,1,2.0.1,4629,0,12205,40,8126
torch,1,2.1.0,9427,0,24860,60,15653
torch,2,2.0.0,4843,4,12340,34,7779
torch,2,2.0.1,4791,0,12197,27,7985
torch,2,2.1.0,4735,0,12506,28,7731
torch,3,2.0.0,4671,1,12418,15,7895
torch,3,2.0.1,4710,1,12338,25,7926
torch,3,2.1.0,4704,0,12366,19,7911
torch,4,2.0.0,4759,1,12318,44,7878
torch,4,2.0.1,4682,2,12403,33,7880
torch,4,2.1.0,4763,0,12356,21,7860
torch,5,2.0.0,4628,2,12461,27,7882
torch,5,2.0.1,4716,1,12426,24,7833
torch,5,2.1.0,4554,1,12514,18,7913
tf,1,2.11.0,2779,19,6462,35,3736
tf,1,2.12.0,2800,28,6356,48,3768
tf,1,2.13.0,2829,27,6401,3,3641
tf,1,2.14.0,5207,0,6518,1,1274
tf,2,2.11.0,2747,17,6464,4,3768
tf,2,2.12.0,2729,18,6336,3,3914
tf,2,2.13.0,2701,15,6414,2,3768
tf,2,2.14.0,5237,0,6372,1,1390
tf,3,2.12.0,2735,25,6319,3,3918
tf,3,2.13.0,2731,18,6451,2,3798
tf,3,2.14.0,5108,0,6513,0,1379
tf,4,2.11.0,2835,18,6274,4,3869
tf,4,2.12.0,2688,26,6548,3,3735
tf,4,2.13.0,2712,24,6470,6,3788
tf,4,2.14.0,5394,0,6247,0,1359
tf,5,2.11.0,2619,17,6486,2,3876
tf,5,2.12.0,2726,18,6431,6,3819
tf,5,2.13.0,2745,22,6474,0,3759
tf,5,2.14.0,5304,0,6442,0,1254
