,Category,Trigger,Frequency
0,API Input Context,Empty Input Tensor,7
1,API Input Context,Inputs with Incompatible Shapes,5
2,API Input Context,Large Input Tensor,6
3,API Input Context,Large Integer Argument,1
4,API Input Context,Modeling Parameter Space,41
5,API Input Context,Modeling Specific Data Types,16
6,API Input Context,Negative Integer Argument,2
7,API Input Context,Zero Integer Argument,3
8,Test Case Context,Model Tensor Execution on CUDA Devices,15
9,Test Case Context,Modeling Compile/Eager Execution Mode,4
10,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,18
11,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Compile/Eager Execution Mode,4
12,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,5
13,Test Case Context,Modeling Multiple API Usage Pattern,15
14,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,4
15,Test Case Context,Oracle for Performance Bug Detection,8
16,Test Case Context,Others,1
17,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,8
