,Category,Trigger,Frequency
0,API Input Context,Empty Input Tensor,2
1,API Input Context,Inputs with Incompatible Shapes,1
2,API Input Context,Large Input Tensor,2
3,API Input Context,Modeling Parameter Space,23
4,API Input Context,Modeling Specific Data Types,9
5,API Input Context,Negative Integer Argument,1
6,Test Case Context,Model Tensor Execution on CUDA Devices,4
7,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,11
8,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,2
9,Test Case Context,Modeling Multiple API Usage Pattern,6
10,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,2
11,Test Case Context,Oracle for Performance Bug Detection,9
12,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,11
