Library,Iteration,Release,crash,exception,timeout
torch,1,2.0.0,0,76174,473
torch,1,2.0.1,0,76244,479
torch,1,2.1.0,0,75592,602
torch,2,2.0.0,0,78094,622
torch,2,2.0.1,0,77836,613
torch,2,2.1.0,0,76327,615
torch,3,2.0.0,0,78008,617
torch,3,2.0.1,0,77874,612
torch,3,2.1.0,0,77842,641
torch,4,2.0.0,0,77876,632
torch,4,2.0.1,0,77560,613
torch,4,2.1.0,0,77904,654
torch,5,2.0.0,0,77942,611
torch,5,2.0.1,0,77818,615
torch,5,2.1.0,0,77718,628
tf,1,2.11.0,203,65095,102
tf,1,2.12.0,165,64864,106
tf,1,2.13.0,177,65265,111
tf,1,2.14.0,167,64847,150
tf,2,2.11.0,187,66875,191
tf,2,2.12.0,169,66793,194
tf,2,2.13.0,195,66818,176
tf,2,2.14.0,183,66601,206
tf,3,2.11.0,220,65718,128
tf,3,2.12.0,191,64791,222
tf,3,2.13.0,187,66829,202
tf,3,2.14.0,160,67015,202
tf,4,2.11.0,198,67058,202
tf,4,2.12.0,212,66614,204
tf,4,2.13.0,181,66108,153
tf,4,2.14.0,188,66802,197
tf,5,2.11.0,184,66856,218
tf,5,2.12.0,177,66817,200
tf,5,2.13.0,189,66707,196
tf,5,2.14.0,177,66637,187
